Designator,Mid X,Mid Y,Rotation,Layer
A1,131.0,-84.35,270.0,top
A2,154.11,-84.35,270.0,top
C1,119.147349,-69.0,0.0,top
C2,146.25,-69.0,0.0,top
C3,94.5,-83.7,180.0,top
C4,103.1,-84.8,180.0,top
C5,109.7,-88.2,0.0,top
D1,96.9875,-89.3,180.0,top
D2,96.9875,-92.3,180.0,top
F1,94.6,-81.0,0.0,top
J1,106.2,-72.85,90.0,top
L1,102.6,-80.7,0.0,top
LCD1,169.5,-104.25,270.0,top
M1,132.8,-66.225,180.0,top
M2,160.05,-66.225,180.0,top
R1,169.075,-79.1,90.0,top
R2,169.075,-91.05,90.0,top
R3,101.9875,-89.3,0.0,top
R4,101.9875,-92.3,0.0,top
RE1,178.3,-103.0,270.0,top
SW1,177.3,-76.5,90.0,top
SW2,177.3,-88.5,90.0,top
SW3,93.7,-74.25,270.0,top
U1,133.01,-104.37,0.0,top
U3,111.2,-83.0,180.0,top
